Gene,locus_tag(gene),old_locus_tag(gene),locus_tag(cds),old_locus_tag(cds),codonStart,translTable,product,protein _id,Unnamed: 9
gene=complement(1993088..1993675),"locus_tag=""MXAN_RS08170""","old_locus_tag=""MXAN_1684""","locus_tag=""MXAN_RS08170""","old_locus_tag=""MXAN_1684""",codon_start=1,transl_table=11,"product=""DUF1801 domain-containing protein""","protein_id=""WP_011551795.1"" ",
gene=complement(1993778..1993951),"locus_tag=""MXAN_RS38070""","old_locus_tag=""MXAN_1685""","locus_tag=""MXAN_RS38070""","old_locus_tag=""MXAN_1685""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551796.1"" ",
gene=complement(1993988..1994839),"locus_tag=""MXAN_RS08175""","old_locus_tag=""MXAN_1686""","locus_tag=""MXAN_RS08175""","old_locus_tag=""MXAN_1686""",codon_start=1,transl_table=11,"product=""GNAT family N-acetyltransferase""","protein_id=""WP_225909810.1"" ",
gene=complement(1995286..1996320),"locus_tag=""MXAN_RS08180""","old_locus_tag=""MXAN_1687""","locus_tag=""MXAN_RS08180""","old_locus_tag=""MXAN_1687""",codon_start=1,transl_table=11,"product=""DUF3592 domain-containing protein""","protein_id=""WP_020477708.1"" ",
gene=1996662..1999271,"locus_tag=""MXAN_RS08185""","old_locus_tag=""MXAN_1688""","locus_tag=""MXAN_RS08185""","old_locus_tag=""MXAN_1688""",codon_start=1,transl_table=11,"product=""TonB-dependent siderophore myxochelin receptorMxcH""","protein_id=""WP_011551799.1"" ",
gene=1999330..2000598,"locus_tag=""MXAN_RS08190""","old_locus_tag=""MXAN_1689""","locus_tag=""MXAN_RS08190""","old_locus_tag=""MXAN_1689""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551800.1"" ",
gene=2000676..2001701,"locus_tag=""MXAN_RS08195""","old_locus_tag=""MXAN_1690""","locus_tag=""MXAN_RS08195""","old_locus_tag=""MXAN_1690""",codon_start=1,transl_table=11,"protein_id=""WP_225909811.1"" ",,
gene=complement(2001843..2002985),"locus_tag=""MXAN_RS08200""","old_locus_tag=""MXAN_1691""","locus_tag=""MXAN_RS08200""","old_locus_tag=""MXAN_1691""",codon_start=1,transl_table=11,"protein_id=""WP_020477705.1"" ",,
gene=complement(2003216..2003650),"locus_tag=""MXAN_RS08205""","old_locus_tag=""MXAN_1692""","locus_tag=""MXAN_RS08205""","old_locus_tag=""MXAN_1692""",codon_start=1,transl_table=11,"product=""RidA family protein""","protein_id=""WP_011551803.1"" ",
gene=complement(2003751..2004818),"locus_tag=""MXAN_RS08210""","old_locus_tag=""MXAN_1693""","locus_tag=""MXAN_RS08210""","old_locus_tag=""MXAN_1693""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551804.1"" ",
gene=2005129..2006169,"locus_tag=""MXAN_RS08215""","old_locus_tag=""MXAN_1694""","locus_tag=""MXAN_RS08215""","old_locus_tag=""MXAN_1694""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477704.1"" ",
gene=complement(2006276..2008735),"locus_tag=""MXAN_RS08220""","old_locus_tag=""MXAN_1695""","locus_tag=""MXAN_RS08220""","old_locus_tag=""MXAN_1695""",codon_start=1,transl_table=11,"product=""ABC transporter permease""","protein_id=""WP_011551805.1"" ",
gene=complement(2009028..2011502),"locus_tag=""MXAN_RS08225""","old_locus_tag=""MXAN_1696""","locus_tag=""MXAN_RS08225""","old_locus_tag=""MXAN_1696""",codon_start=1,transl_table=11,"product=""Ig-like domain-containing protein""","protein_id=""WP_225909813.1"" ",
gene=complement(2011748..2012755),"locus_tag=""MXAN_RS08230""","old_locus_tag=""MXAN_1697""","locus_tag=""MXAN_RS08230""","old_locus_tag=""MXAN_1697""",codon_start=1,transl_table=11,"product=""ferritin-like domain-containing protein""","protein_id=""WP_011551807.1"" ",
gene=complement(2013057..2013875),"locus_tag=""MXAN_RS08235""","old_locus_tag=""MXAN_1698""","locus_tag=""MXAN_RS08235""","old_locus_tag=""MXAN_1698""",codon_start=1,transl_table=11,"product=""aminoglycoside nucleotidyltransferase ANT9""","protein_id=""WP_011551808.1"" ",
gene=complement(2014084..2015214),"locus_tag=""MXAN_RS08240""","old_locus_tag=""MXAN_1699""","locus_tag=""MXAN_RS08240""","old_locus_tag=""MXAN_1699""",codon_start=1,transl_table=11,"protein_id=""WP_043611710.1"" ",,
gene=2015876..2017300,"locus_tag=""MXAN_RS08245""","old_locus_tag=""MXAN_1700""","locus_tag=""MXAN_RS08245""","old_locus_tag=""MXAN_1700""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909814.1"" ",
gene=complement(2017349..2018662),"locus_tag=""MXAN_RS08250""","old_locus_tag=""MXAN_1701""","locus_tag=""MXAN_RS08250""","old_locus_tag=""MXAN_1701""",codon_start=1,transl_table=11,"product=""Dyp-type peroxidase""","protein_id=""WP_011551811.1"" ",
gene=complement(2018664..2019530),"locus_tag=""MXAN_RS08255""","old_locus_tag=""MXAN_1702""","locus_tag=""MXAN_RS08255""","old_locus_tag=""MXAN_1702""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909815.1"" ",
gene=complement(2019690..2020223),"locus_tag=""MXAN_RS08260""","old_locus_tag=""MXAN_1703""","locus_tag=""MXAN_RS08260""","old_locus_tag=""MXAN_1703""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551813.1"" ",
gene=2020409..2020942,"locus_tag=""MXAN_RS08265""","old_locus_tag=""MXAN_1704""","locus_tag=""MXAN_RS08265""","old_locus_tag=""MXAN_1704""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551814.1"" ",
gene=complement(2021073..2022593),"locus_tag=""MXAN_RS08270""","old_locus_tag=""MXAN_1705""","locus_tag=""MXAN_RS08270""","old_locus_tag=""MXAN_1705""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477698.1"" ",
gene=complement(2022815..2024131),"locus_tag=""MXAN_RS38610""","old_locus_tag=""MXAN_1706""","locus_tag=""MXAN_RS38610""","old_locus_tag=""MXAN_1706""",codon_start=1,transl_table=11,"product=""kelch repeat-containing protein""","protein_id=""WP_216609304.1"" ",
gene=complement(2024128..2024775),"locus_tag=""MXAN_RS08280""","old_locus_tag=""MXAN_1707""","locus_tag=""MXAN_RS08280""","old_locus_tag=""MXAN_1707""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_231405761.1"" ",
gene=complement(2025060..2025884),"locus_tag=""MXAN_RS08285""","old_locus_tag=""MXAN_1708""","locus_tag=""MXAN_RS08285""","old_locus_tag=""MXAN_1708""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909817.1"" ",
gene=complement(2026147..2027040),"locus_tag=""MXAN_RS08290""","old_locus_tag=""MXAN_1709""","locus_tag=""MXAN_RS08290""","old_locus_tag=""MXAN_1709""",codon_start=1,transl_table=11,"product=""DNA-directed RNA polymerase sigma-70 factor""","protein_id=""WP_011551819.1"" ",
gene=complement(2027037..2030186),"locus_tag=""MXAN_RS08295""","old_locus_tag=""MXAN_1710""","locus_tag=""MXAN_RS08295""","old_locus_tag=""MXAN_1710""",codon_start=1,transl_table=11,"product=""tetratricopeptide repeat protein""","protein_id=""WP_011551820.1"" ",
gene=complement(2030610..2031560),"locus_tag=""MXAN_RS08305""","old_locus_tag=""MXAN_1711""","locus_tag=""MXAN_RS08305""","old_locus_tag=""MXAN_1711""",codon_start=1,transl_table=11,"product=""LysR substrate-binding domain-containingprotein""","protein_id=""WP_020477697.1"" ",
gene=2031662..2032000,"locus_tag=""MXAN_RS39075""",,"locus_tag=""MXAN_RS39075""",,codon_start=1,transl_table=11,"product=""cupin domain-containing protein""","protein_id=""WP_225909962.1"" ",
gene=2032069..2032935,"locus_tag=""MXAN_RS08315""","old_locus_tag=""MXAN_1712""","locus_tag=""MXAN_RS08315""","old_locus_tag=""MXAN_1712""",codon_start=1,transl_table=11,"product=""MBL fold metallo-hydrolase""","protein_id=""WP_225909818.1"" ",
gene=complement(2033033..2034127),"locus_tag=""MXAN_RS08320""","old_locus_tag=""MXAN_1713""","locus_tag=""MXAN_RS08320""","old_locus_tag=""MXAN_1713""",codon_start=1,transl_table=11,"product=""peptidyl-prolyl cis-trans isomerase""","protein_id=""WP_011551823.1"" ",
gene=complement(2034137..2034850),"locus_tag=""MXAN_RS08325""","old_locus_tag=""MXAN_1714""","locus_tag=""MXAN_RS08325""","old_locus_tag=""MXAN_1714""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551824.1"" ",
gene=complement(2034981..2036176),"locus_tag=""MXAN_RS08330""","old_locus_tag=""MXAN_1715""","locus_tag=""MXAN_RS08330""","old_locus_tag=""MXAN_1715""",codon_start=1,transl_table=11,"product=""IS3-like element ISMxa1 family transposase""","protein_id=""WP_086009332.1"" ",
gene=complement(2036228..2036710),"locus_tag=""MXAN_RS08340""","old_locus_tag=""MXAN_1717""","locus_tag=""MXAN_RS08340""","old_locus_tag=""MXAN_1717""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477694.1"" ",
gene=complement(2036941..2037294),"locus_tag=""MXAN_RS08345""","old_locus_tag=""MXAN_1718""","locus_tag=""MXAN_RS08345""","old_locus_tag=""MXAN_1718""",codon_start=1,transl_table=11,"product=""VOC family protein""","protein_id=""WP_011551828.1"" ",
gene=complement(2037464..2038288),"locus_tag=""MXAN_RS08350""","old_locus_tag=""MXAN_1719""","locus_tag=""MXAN_RS08350""","old_locus_tag=""MXAN_1719""",codon_start=1,transl_table=11,"product=""AraC family transcriptional regulator""","protein_id=""WP_225909819.1"" ",
gene=2038682..2039275,"locus_tag=""MXAN_RS08355""","old_locus_tag=""MXAN_1720""","locus_tag=""MXAN_RS08355""","old_locus_tag=""MXAN_1720""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551830.1"" ",
gene=complement(2039409..2040977),"locus_tag=""MXAN_RS08360""","old_locus_tag=""MXAN_1721""","locus_tag=""MXAN_RS08360""","old_locus_tag=""MXAN_1721""",codon_start=1,transl_table=11,"product=""S28 family serine protease""","protein_id=""WP_020477692.1"" ",
gene=2041517..2041873,"locus_tag=""MXAN_RS08365""","old_locus_tag=""MXAN_1724""","locus_tag=""MXAN_RS08365""","old_locus_tag=""MXAN_1724""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551834.1"" ",
gene=2041967..2042149,"locus_tag=""MXAN_RS38625""","old_locus_tag=""MXAN_1725""","locus_tag=""MXAN_RS38625""","old_locus_tag=""MXAN_1725""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477690.1"" ",
gene=complement(2042567..2043448),"locus_tag=""MXAN_RS08375""","old_locus_tag=""MXAN_1726""","locus_tag=""MXAN_RS08375""","old_locus_tag=""MXAN_1726""",codon_start=1,transl_table=11,"product=""LysR family transcriptional regulator""","protein_id=""WP_011551836.1"" ",
gene=2044193..2044744,"locus_tag=""MXAN_RS08385""","old_locus_tag=""MXAN_1727""","locus_tag=""MXAN_RS08385""","old_locus_tag=""MXAN_1727""",codon_start=1,transl_table=11,"protein_id=""WP_167545722.1"" ",,
gene=2044741..2045907,"locus_tag=""MXAN_RS08390""","old_locus_tag=""MXAN_1728""","locus_tag=""MXAN_RS08390""","old_locus_tag=""MXAN_1728""",codon_start=1,transl_table=11,"product=""DUF418 domain-containing protein""","protein_id=""WP_011551838.1"" ",
gene=2046422..2046679,"locus_tag=""MXAN_RS08395""","old_locus_tag=""MXAN_1729""","locus_tag=""MXAN_RS08395""","old_locus_tag=""MXAN_1729""",codon_start=1,transl_table=11,"product=""YjhX family toxin""","protein_id=""WP_020477688.1"" ",
gene=2047333..2047836,"locus_tag=""MXAN_RS37480""","old_locus_tag=""MXAN_1731""","locus_tag=""MXAN_RS37480""","old_locus_tag=""MXAN_1731""",codon_start=1,transl_table=11,"product=""TlpA disulfide reductase family protein""","protein_id=""WP_100248062.1"" ",
gene=2048045..2050390,"locus_tag=""MXAN_RS08415""","old_locus_tag=""MXAN_1732""","locus_tag=""MXAN_RS08415""","old_locus_tag=""MXAN_1732""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551841.1"" ",
gene=complement(2050537..2052957),"locus_tag=""MXAN_RS08420""","old_locus_tag=""MXAN_1733""","locus_tag=""MXAN_RS08420""","old_locus_tag=""MXAN_1733""",codon_start=1,transl_table=11,"product=""Ig-like domain-containing protein""","protein_id=""WP_216608933.1"" ",
gene=2053239..2053400,"locus_tag=""MXAN_RS38075""","old_locus_tag=""MXAN_1734""","locus_tag=""MXAN_RS38075""","old_locus_tag=""MXAN_1734""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551843.1"" ",
gene=2053575..2055023,"locus_tag=""MXAN_RS08425""","old_locus_tag=""MXAN_1735""","locus_tag=""MXAN_RS08425""","old_locus_tag=""MXAN_1735""",codon_start=1,transl_table=11,"product=""Ig-like domain-containing protein""","protein_id=""WP_011551844.1"" ",
gene=2055447..2055587,"locus_tag=""MXAN_RS38080""",,"locus_tag=""MXAN_RS38080""",,codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477684.1"" ",
gene=2055876..2056946,"locus_tag=""MXAN_RS08430""","old_locus_tag=""MXAN_1736""","locus_tag=""MXAN_RS08430""","old_locus_tag=""MXAN_1736""",codon_start=1,transl_table=11,"product=""acyltransferase""","protein_id=""WP_231405763.1"" ",
gene=complement(2057307..2058734),"locus_tag=""MXAN_RS08435""","old_locus_tag=""MXAN_1737""","locus_tag=""MXAN_RS08435""","old_locus_tag=""MXAN_1737""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551846.1"" ",
gene=complement(2059142..2059906),"locus_tag=""MXAN_RS08440""","old_locus_tag=""MXAN_1739""","locus_tag=""MXAN_RS08440""","old_locus_tag=""MXAN_1739""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477683.1"" ",
gene=complement(2060339..2062018),"locus_tag=""MXAN_RS08445""","old_locus_tag=""MXAN_1740""","locus_tag=""MXAN_RS08445""","old_locus_tag=""MXAN_1740""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477682.1"" ",
gene=complement(2062286..2063644),"locus_tag=""MXAN_RS08450""","old_locus_tag=""MXAN_1741""","locus_tag=""MXAN_RS08450""","old_locus_tag=""MXAN_1741""",codon_start=1,transl_table=11,"product=""M23 family metallopeptidase""","protein_id=""WP_011551850.1"" ",
gene=complement(2064545..2065390),"locus_tag=""MXAN_RS08455""","old_locus_tag=""MXAN_1742""","locus_tag=""MXAN_RS08455""","old_locus_tag=""MXAN_1742""",codon_start=1,transl_table=11,"product=""fatty acid desaturase""","protein_id=""WP_011551851.1"" ",
gene=complement(2065387..2066823),"locus_tag=""MXAN_RS08460""","old_locus_tag=""MXAN_1743""","locus_tag=""MXAN_RS08460""","old_locus_tag=""MXAN_1743""",codon_start=1,transl_table=11,"product=""cytochrome P450""","protein_id=""WP_011551852.1"" ",
gene=complement(2066844..2068871),"locus_tag=""MXAN_RS08465""","old_locus_tag=""MXAN_1744""","locus_tag=""MXAN_RS08465""","old_locus_tag=""MXAN_1744""",codon_start=1,transl_table=11,"product=""lipoxygenase family protein""","protein_id=""WP_011551853.1"" ",
gene=2069077..2071146,"locus_tag=""MXAN_RS08470""","old_locus_tag=""MXAN_1745""","locus_tag=""MXAN_RS08470""","old_locus_tag=""MXAN_1745""",codon_start=1,transl_table=11,"product=""lipoxygenase family protein""","protein_id=""WP_225909820.1"" ",
gene=complement(2071622..2073118),"locus_tag=""MXAN_RS08475""","old_locus_tag=""MXAN_1746""","locus_tag=""MXAN_RS08475""","old_locus_tag=""MXAN_1746""",codon_start=1,transl_table=11,"product=""PLP-dependent aminotransferase family protein""","protein_id=""WP_011551855.1"" ",
gene=2073180..2073962,"locus_tag=""MXAN_RS08480""","old_locus_tag=""MXAN_1747""","locus_tag=""MXAN_RS08480""","old_locus_tag=""MXAN_1747""",codon_start=1,transl_table=11,"product=""YggS family pyridoxal phosphate-dependentenzyme""","protein_id=""WP_026113806.1"" ",
gene=complement(2074041..2074499),"locus_tag=""MXAN_RS08485""","old_locus_tag=""MXAN_1748""","locus_tag=""MXAN_RS08485""","old_locus_tag=""MXAN_1748""",codon_start=1,transl_table=11,"product=""GNAT family N-acetyltransferase""","protein_id=""WP_011551857.1"" ",
gene=complement(2074496..2074957),"locus_tag=""MXAN_RS37495""",,"locus_tag=""MXAN_RS37495""",,codon_start=1,transl_table=11,"product=""transposase""","protein_id=""WP_141276655.1"" ",
gene=complement(2074954..2075157),"locus_tag=""MXAN_RS37500""","old_locus_tag=""MXAN_1749""","locus_tag=""MXAN_RS37500""","old_locus_tag=""MXAN_1749""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551858.1"" ",
gene=complement(2075369..2075848),"locus_tag=""MXAN_RS08490""","old_locus_tag=""MXAN_1751""","locus_tag=""MXAN_RS08490""","old_locus_tag=""MXAN_1751""",codon_start=1,transl_table=11,"product=""(2Fe-2S)-binding protein""","protein_id=""WP_011551860.1"" ",
gene=complement(2075851..2078007),"locus_tag=""MXAN_RS08495""","old_locus_tag=""MXAN_1752""","locus_tag=""MXAN_RS08495""","old_locus_tag=""MXAN_1752""",codon_start=1,transl_table=11,"product=""xanthine dehydrogenase family proteinmolybdopterin-binding subunit""","protein_id=""WP_011551861.1"" ",
gene=2078291..2078716,"locus_tag=""MXAN_RS08500""","old_locus_tag=""MXAN_1753""","locus_tag=""MXAN_RS08500""","old_locus_tag=""MXAN_1753""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477680.1"" ",
gene=complement(2078980..2079504),"locus_tag=""MXAN_RS37505""",,"locus_tag=""MXAN_RS37505""",,codon_start=1,transl_table=11,"product=""cyclophilin-like fold protein""","protein_id=""WP_196942308.1"" ",
gene=complement(2079747..2080514),"locus_tag=""MXAN_RS08505""","old_locus_tag=""MXAN_1754""","locus_tag=""MXAN_RS08505""","old_locus_tag=""MXAN_1754""",codon_start=1,transl_table=11,"product=""glucose 1-dehydrogenase""","protein_id=""WP_011551863.1"" ",
gene=complement(2080781..2081836),"locus_tag=""MXAN_RS08510""","old_locus_tag=""MXAN_1756""","locus_tag=""MXAN_RS08510""","old_locus_tag=""MXAN_1756""",codon_start=1,transl_table=11,"protein_id=""WP_011551865.1"" ",,
gene=complement(2082772..2083716),"locus_tag=""MXAN_RS08515""","old_locus_tag=""MXAN_1757""","locus_tag=""MXAN_RS08515""","old_locus_tag=""MXAN_1757""",codon_start=1,transl_table=11,"product=""LysR family transcriptional regulator""","protein_id=""WP_011551866.1"" ",
gene=2083846..2084862,"locus_tag=""MXAN_RS08520""","old_locus_tag=""MXAN_1758""","locus_tag=""MXAN_RS08520""","old_locus_tag=""MXAN_1758""",codon_start=1,transl_table=11,"product=""zinc-dependent alcohol dehydrogenase familyprotein""","protein_id=""WP_026113804.1"" ",
gene=complement(2085096..2085872),"locus_tag=""MXAN_RS08525""","old_locus_tag=""MXAN_1759""","locus_tag=""MXAN_RS08525""","old_locus_tag=""MXAN_1759""",codon_start=1,transl_table=11,"product=""DNA alkylation repair protein""","protein_id=""WP_011551868.1"" ",
gene=complement(2085869..2086369),"locus_tag=""MXAN_RS08530""","old_locus_tag=""MXAN_1760""","locus_tag=""MXAN_RS08530""","old_locus_tag=""MXAN_1760""",codon_start=1,transl_table=11,"product=""MarR family winged helix-turn-helixtranscriptional regulator""","protein_id=""WP_020477676.1"" ",
gene=2087004..2087498,"locus_tag=""MXAN_RS08535""",,"locus_tag=""MXAN_RS08535""",,codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909821.1"" ",
gene=complement(2087989..2090388),"locus_tag=""MXAN_RS36625""","old_locus_tag=""MXAN_1763""","locus_tag=""MXAN_RS36625""","old_locus_tag=""MXAN_1763""",codon_start=1,transl_table=11,"product=""kelch repeat-containing protein""","protein_id=""WP_225909822.1"" ",
gene=complement(2091547..>2091834),"locus_tag=""MXAN_RS37510""",,"locus_tag=""MXAN_RS37510""",,codon_start=1,,"product=""IS3 family transposase"" ",,
gene=complement(2091842..>2092096),"locus_tag=""MXAN_RS36635""",,"locus_tag=""MXAN_RS36635""",,codon_start=1,,"product=""IS30 family transposase"" ",,
gene=complement(2092161..2092481),"locus_tag=""MXAN_RS08545""","old_locus_tag=""MXAN_1765""","locus_tag=""MXAN_RS08545""","old_locus_tag=""MXAN_1765""",codon_start=1,transl_table=11,"product=""transposase""","protein_id=""WP_081615968.1"" ",
gene=complement(2092636..2093193),"locus_tag=""MXAN_RS08550""","old_locus_tag=""MXAN_1766""","locus_tag=""MXAN_RS08550""","old_locus_tag=""MXAN_1766""",codon_start=1,transl_table=11,"product=""dihydrofolate reductase family protein""","protein_id=""WP_011551875.1"" ",
gene=complement(2093203..2093391),"locus_tag=""MXAN_RS08555""","old_locus_tag=""MXAN_1767""","locus_tag=""MXAN_RS08555""","old_locus_tag=""MXAN_1767""",codon_start=1,transl_table=11,"product=""transposase""","protein_id=""WP_011551876.1"" ",
gene=complement(2093413..2093898),"locus_tag=""MXAN_RS39080""","old_locus_tag=""MXAN_1768""","locus_tag=""MXAN_RS39080""","old_locus_tag=""MXAN_1768""",codon_start=1,transl_table=11,"product=""transposase""","protein_id=""WP_225909964.1"" ",
gene=complement(2094470..2095849),"locus_tag=""MXAN_RS08565""","old_locus_tag=""MXAN_1769""","locus_tag=""MXAN_RS08565""","old_locus_tag=""MXAN_1769""",codon_start=1,transl_table=11,"product=""SH3 domain-containing protein""","protein_id=""WP_011551878.1"" ",
gene=2096789..2097931,"locus_tag=""MXAN_RS08570""","old_locus_tag=""MXAN_1770""","locus_tag=""MXAN_RS08570""","old_locus_tag=""MXAN_1770""",codon_start=1,transl_table=11,"product=""DUF1259 domain-containing protein""","protein_id=""WP_225909823.1"" ",
gene=complement(2098146..2099357),"locus_tag=""MXAN_RS38370""","old_locus_tag=""MXAN_1771""","locus_tag=""MXAN_RS38370""","old_locus_tag=""MXAN_1771""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477669.1"" ",
gene=complement(2100790..2101872),"locus_tag=""MXAN_RS08585""","old_locus_tag=""MXAN_1774""","locus_tag=""MXAN_RS08585""","old_locus_tag=""MXAN_1774""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551883.1"" ",
gene=complement(2101844..2102503),"locus_tag=""MXAN_RS08590""","old_locus_tag=""MXAN_1775""","locus_tag=""MXAN_RS08590""","old_locus_tag=""MXAN_1775""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909824.1"" ",
gene=2102785..2103510,"locus_tag=""MXAN_RS08595""","old_locus_tag=""MXAN_1776""","locus_tag=""MXAN_RS08595""","old_locus_tag=""MXAN_1776""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_225909825.1"" ",
gene=2103534..2103884,"locus_tag=""MXAN_RS08600""","old_locus_tag=""MXAN_1777""","locus_tag=""MXAN_RS08600""","old_locus_tag=""MXAN_1777""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_216608932.1"" ",
gene=<2104430..2104809,"locus_tag=""MXAN_RS38630""","old_locus_tag=""MXAN_1779""","locus_tag=""MXAN_RS38630""","old_locus_tag=""MXAN_1779""",codon_start=1,transl_table=11,"product=""transposase"" ",,
gene=complement(2105186..2105569),"locus_tag=""MXAN_RS36640""","old_locus_tag=""MXAN_1781""","locus_tag=""MXAN_RS36640""","old_locus_tag=""MXAN_1781""",codon_start=1,transl_table=11,"product=""VOC family protein""","protein_id=""WP_231405836.1"" ",
gene=complement(2105794..2106024),"locus_tag=""MXAN_RS08620""",,"locus_tag=""MXAN_RS08620""",,codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477665.1"" ",
gene=complement(2106030..>2106320),"locus_tag=""MXAN_RS08625""","old_locus_tag=""MXAN_1782""","locus_tag=""MXAN_RS08625""","old_locus_tag=""MXAN_1782""",codon_start=1,transl_table=11,"product=""gamma-glutamylcyclotransferase family protein"" ",,
gene=complement(2106387..2107082),"locus_tag=""MXAN_RS08630""","old_locus_tag=""MXAN_1783""","locus_tag=""MXAN_RS08630""","old_locus_tag=""MXAN_1783""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477664.1"" ",
gene=complement(2107204..2107494),"locus_tag=""MXAN_RS38635""",,"locus_tag=""MXAN_RS38635""",,codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_026113803.1"" ",
gene=complement(2107749..2108486),"locus_tag=""MXAN_RS08640""","old_locus_tag=""MXAN_1784""","locus_tag=""MXAN_RS08640""","old_locus_tag=""MXAN_1784""",codon_start=1,transl_table=11,"product=""MBL fold metallo-hydrolase""","protein_id=""WP_026113802.1"" ",
gene=complement(<2108594..>2108800),"locus_tag=""MXAN_RS39250""",,"locus_tag=""MXAN_RS39250""",,codon_start=1,,"product=""head morpho",,
"genesis protein"" ",,,,,,,,,
gene=2108825..2109031,"locus_tag=""MXAN_RS39255""",,"locus_tag=""MXAN_RS39255""",,codon_start=1,transl_table=11,"product=""transposase""","protein_id=""WP_316503949.1"" ",
gene=2109028..2109378,"locus_tag=""MXAN_RS08650""","old_locus_tag=""MXAN_1786""","locus_tag=""MXAN_RS08650""","old_locus_tag=""MXAN_1786""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551893.1"" ",
gene=2110392..2111609,"locus_tag=""MXAN_RS08655""","old_locus_tag=""MXAN_1788""","locus_tag=""MXAN_RS08655""","old_locus_tag=""MXAN_1788""",codon_start=1,transl_table=11,"product=""HlyD family secretion protein""","protein_id=""WP_011551895.1"" ",
gene=2111612..2114341,"locus_tag=""MXAN_RS08660""","old_locus_tag=""MXAN_1789""","locus_tag=""MXAN_RS08660""","old_locus_tag=""MXAN_1789""",codon_start=1,transl_table=11,"product=""ATP-binding cassette domain-containing protein""","protein_id=""WP_011551896.1"" ",
gene=2114338..2116449,"locus_tag=""MXAN_RS08665""","old_locus_tag=""MXAN_1790""","locus_tag=""MXAN_RS08665""","old_locus_tag=""MXAN_1790""",codon_start=1,transl_table=11,"product=""ABC transporter ATP-binding protein""","protein_id=""WP_011551897.1"" ",
gene=2116446..2117945,"locus_tag=""MXAN_RS08670""","old_locus_tag=""MXAN_1791""","locus_tag=""MXAN_RS08670""","old_locus_tag=""MXAN_1791""",codon_start=1,transl_table=11,"product=""TolC family protein""","protein_id=""WP_011551898.1"" ",
gene=2117952..2119700,"locus_tag=""MXAN_RS08675""","old_locus_tag=""MXAN_1792""","locus_tag=""MXAN_RS08675""","old_locus_tag=""MXAN_1792""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_011551899.1"" ",
gene=2119709..2120719,"locus_tag=""MXAN_RS08680""","old_locus_tag=""MXAN_1793""","locus_tag=""MXAN_RS08680""","old_locus_tag=""MXAN_1793""",codon_start=1,transl_table=11,"product=""phosphotransferase enzyme family protein""","protein_id=""WP_011551900.1"" ",
gene=2121310..2121837,"locus_tag=""MXAN_RS08685""",,"locus_tag=""MXAN_RS08685""",,codon_start=1,transl_table=11,"product=""integrase core domain-containing protein""","protein_id=""WP_020477661.1"" ",
gene=2122481..2123269,"locus_tag=""MXAN_RS08690""","old_locus_tag=""MXAN_1795""","locus_tag=""MXAN_RS08690""","old_locus_tag=""MXAN_1795""",codon_start=1,transl_table=11,"product=""hypothetical protein""","protein_id=""WP_020477660.1"" ",
